trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-82.84396277425415,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-192.42624147353797,"{0: 7, 1: 4, 2: 6, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",35,0,-167.71694740811418,"{0: 24, 1: 1, 2: 7, 3: 0, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-121.25484625050517,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-122.63057225212638,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-76.2755583136354,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-155.99328250424446,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,16,-59.02857556117317,"{0: 8, 1: 2, 2: 2, 3: 2, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-134.9649416833365,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",30,0,-225.21989805436402,"{0: 17, 1: 3, 2: 5, 3: 1, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-195.3273975995031,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-103.14709516790823,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-73.43770109130182,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-30.19366661038519,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-153.11934744134166,"{0: 14, 1: 0, 2: 1, 3: 2, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,1,-64.52061760514498,"{0: 14, 1: 0, 2: 2, 3: 3, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,5,-158.416365268951,"{0: 9, 1: 0, 2: 1, 3: 2, 4: 3}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-76.49030330988113,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-57.0801205775793,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.0}",25,0,-68.06195728819749,"{0: 21, 1: 0, 2: 1, 3: 2, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-127.86303327452845,"{0: 19, 1: 0, 2: 1, 3: 3, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",35,9,-61.32060939785092,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 2}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-142.0745342379572,"{0: 12, 1: 0, 2: 2, 3: 5, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-101.34731225699986,"{0: 21, 1: 0, 2: 0, 3: 2, 4: 2}",0
5,True,"{'a': 0.0, 'e': 0.0}",30,0,-48.501626406201474,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 2}",0
6,True,"{'a': 0.0, 'e': 0.0}",30,23,-30.326566337896374,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-29.69387394418683,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
8,True,"{'a': 0.0, 'e': 0.0}",30,14,-80.44073111084504,"{0: 10, 1: 0, 2: 2, 3: 4, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-142.9426271080358,"{0: 15, 1: 0, 2: 0, 3: 2, 4: 3}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,3,-76.04393461247447,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 2}",1
