trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.08966634278734,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-89.08449735191166,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",35,0,-167.4643911202874,"{0: 17, 1: 7, 2: 9, 3: 1, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-56.44405011571862,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.40764157657661,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-154.91455262495384,"{0: 13, 1: 4, 2: 5, 3: 1, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.11911504163149,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.00563550968594,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-175.80537154293054,"{0: 11, 1: 4, 2: 7, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.87753128258433,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-17.31185027754189,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-43.54230645624561,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-67.26978069477641,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.44979724996043,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.94555823590784,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.92503366047553,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,16,-191.58917662303284,"{0: 6, 1: 0, 2: 4, 3: 0, 4: 4}",1
18,False,"{'a': 0.5, 'e': 1.0}",25,0,-76.49228492275138,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,5,-71.82483282111004,"{0: 7, 1: 3, 2: 3, 3: 2, 4: 0}",1
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-268.61322802247736,"{0: 10, 1: 3, 2: 5, 3: 3, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,8,-11.010209393185104,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-94.47670871893371,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-42.98449894444039,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-93.40156175386717,"{0: 13, 1: 2, 2: 10, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-26.19282908472331,"{0: 25, 1: 0, 2: 4, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-53.488454461392955,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-69.30435826092997,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-76.36645116912132,"{0: 14, 1: 4, 2: 7, 3: 0, 4: 0}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,0,-81.06704744106457,"{0: 15, 1: 5, 2: 3, 3: 2, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",20,14,-32.2673254111174,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
