trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.80000000000000004, 'e': 1.0}",30,0,-229.08451023946188,"{0: 19, 1: 0, 2: 5, 3: 2, 4: 4}",0
2,False,"{'a': 0.79999900000050017, 'e': 0.99999500001249997}",30,0,-247.33902794677144,"{0: 16, 1: 3, 2: 5, 3: 2, 4: 4}",0
3,False,"{'a': 0.79999700000250007, 'e': 0.99998500006249991}",25,0,-137.78307837322444,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
4,False,"{'a': 0.79999400000700005, 'e': 0.99997000017499937}",20,0,-128.59240919297687,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
5,False,"{'a': 0.7999900000150002, 'e': 0.99995000037499793}",30,0,-152.00131329121356,"{0: 19, 1: 4, 2: 3, 3: 2, 4: 2}",0
6,False,"{'a': 0.79998500002750017, 'e': 0.99992500068749535}",30,0,-149.1946958847352,"{0: 22, 1: 0, 2: 3, 3: 3, 4: 2}",0
7,False,"{'a': 0.79997900004550004, 'e': 0.99989500113749097}",25,0,-55.9186137711854,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
8,False,"{'a': 0.79997200006999991, 'e': 0.99986000174998368}",20,9,-99.07493231250007,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 2}",1
9,False,"{'a': 0.79996400010199986, 'e': 0.99982000254997305}",30,0,-177.93096495326944,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
10,False,"{'a': 0.79995500014249976, 'e': 0.99977500356245796}",20,0,-39.59790804919653,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
11,False,"{'a': 0.79994500019249948, 'e': 0.99972500481243709}",20,0,-35.71432224651783,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
12,False,"{'a': 0.79993400025299932, 'e': 0.99967000632490932}",30,0,-149.24033955380824,"{0: 17, 1: 7, 2: 3, 3: 1, 4: 2}",0
13,False,"{'a': 0.79992200032499916, 'e': 0.99961000812487333}",20,0,-143.02833763334132,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
14,False,"{'a': 0.79990900040949864, 'e': 0.99954501023732756}",25,0,-88.20711228767905,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
15,False,"{'a': 0.79989500050749829, 'e': 0.99947501268727024}",25,0,-98.05041444592658,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
16,False,"{'a': 0.79988000061999776, 'e': 0.99940001549969981}",25,0,-108.38421055131387,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",1
17,False,"{'a': 0.79986400074799713, 'e': 0.99932001869961451}",30,0,-141.5414196188529,"{0: 22, 1: 1, 2: 4, 3: 0, 4: 3}",0
18,False,"{'a': 0.79984700089249627, 'e': 0.99923502231201211}",20,0,-49.19268078099823,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.79982900105449528, 'e': 0.99914502636189062}",20,0,-120.75258837991647,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
20,False,"{'a': 0.79981000123499424, 'e': 0.9990500308742476}",25,0,-90.50137737492504,"{0: 17, 1: 1, 2: 6, 3: 0, 4: 1}",0
21,False,"{'a': 0.79979000143499279, 'e': 0.99895003587408082}",20,0,-63.90285728580266,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
22,False,"{'a': 0.79976900165549125, 'e': 0.99884504138638786}",20,0,-77.30232773817077,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
23,False,"{'a': 0.79974700189748948, 'e': 0.99873504743616603}",25,15,-29.21890785374356,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
24,False,"{'a': 0.79972400216198736, 'e': 0.9986200540484127}",25,0,-96.48696981305214,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
25,False,"{'a': 0.79970000244998518, 'e': 0.99850006124812474}",20,0,-79.62154230367642,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
26,False,"{'a': 0.7996750027624826, 'e': 0.99837506906029927}",25,0,-200.40908458538618,"{0: 10, 1: 2, 2: 10, 3: 1, 4: 2}",0
27,False,"{'a': 0.7996490031004797, 'e': 0.99824507750993297}",25,0,-148.91688010228026,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
28,False,"{'a': 0.79962200346497658, 'e': 0.99811008662202294}",30,0,-188.62131376239475,"{0: 22, 1: 0, 2: 3, 3: 1, 4: 4}",0
29,False,"{'a': 0.79959400385697288, 'e': 0.99797009642156564}",20,0,-64.99850596980538,"{0: 11, 1: 6, 2: 1, 3: 2, 4: 0}",0
30,False,"{'a': 0.7995650042774689, 'e': 0.99782510693355753}",20,0,-128.2985123712782,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
31,False,"{'a': 0.7995350047274643, 'e': 0.99767511818299504}",20,0,-74.36381781162673,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
32,False,"{'a': 0.79950400520795939, 'e': 0.9975201301948744}",20,0,-49.35299224815575,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
33,False,"{'a': 0.79947200571995403, 'e': 0.99736014299419162}",25,0,-101.42504985871471,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
34,False,"{'a': 0.79943900626444808, 'e': 0.99719515660594293}",25,0,-172.3777265748257,"{0: 13, 1: 2, 2: 6, 3: 2, 4: 2}",0
35,False,"{'a': 0.79940500684244142, 'e': 0.99702517105512412}",25,0,-158.03443896859338,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
36,False,"{'a': 0.79937000745493414, 'e': 0.99685018636673095}",25,0,-132.35649522793292,"{0: 12, 1: 4, 2: 5, 3: 4, 4: 0}",0
37,False,"{'a': 0.79933400810292632, 'e': 0.996670202565759}",20,0,-69.17082768992248,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
38,False,"{'a': 0.79929700878741783, 'e': 0.99648521967720383}",20,0,-122.70523778696392,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
39,False,"{'a': 0.79925900950940854, 'e': 0.99629523772606077}",25,0,-137.83831674566287,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
40,False,"{'a': 0.79922001026989875, 'e': 0.99610025673732494}",25,0,-128.23996116717706,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
