trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.80000000000000004, 'e': 1.0}",25,0,-209.71910083482163,"{0: 11, 1: 4, 2: 6, 3: 1, 4: 3}",0
2,False,"{'a': 0.79999500001250001, 'e': 0.99997500031249742}",20,0,-61.76862267727285,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
3,False,"{'a': 0.79998500006249973, 'e': 0.99992500156247655}",35,7,-146.55731328198448,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 3}",1
4,False,"{'a': 0.7999700001749992, 'e': 0.99985000437490612}",30,0,-181.54637246686644,"{0: 13, 1: 7, 2: 6, 3: 3, 4: 1}",0
5,False,"{'a': 0.79995000037499775, 'e': 0.99975000937473935}",25,0,-169.94843146186787,"{0: 13, 1: 2, 2: 5, 3: 4, 4: 1}",0
6,False,"{'a': 0.79992500068749517, 'e': 0.99962501718691388}",20,0,-59.23881967588316,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.79989500113749079, 'e': 0.99947502843635139}",25,0,-52.620480514552746,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
8,False,"{'a': 0.79986000174998351, 'e': 0.99930004374795822}",20,0,-138.0956690750354,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
9,False,"{'a': 0.79982000254997287, 'e': 0.99910006374662497}",30,0,-129.42732266021105,"{0: 21, 1: 2, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.79977500356245779, 'e': 0.99887508905722666}",20,0,-115.12510434193462,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.79972500481243691, 'e': 0.9986251203046228}",25,0,-303.09208989908143,"{0: 9, 1: 3, 2: 6, 3: 2, 4: 5}",0
12,False,"{'a': 0.79967000632490914, 'e': 0.9983501581136569}",20,0,-196.44612620802926,"{0: 9, 1: 5, 2: 0, 3: 3, 4: 3}",0
13,False,"{'a': 0.79961000812487315, 'e': 0.99805020310915715}",20,0,-113.32373097405217,"{0: 9, 1: 2, 2: 8, 3: 0, 4: 1}",0
14,False,"{'a': 0.79954501023732738, 'e': 0.99772525591593642}",20,0,-48.447064412674244,"{0: 15, 1: 1, 2: 2, 3: 2, 4: 0}",0
15,False,"{'a': 0.79947501268727006, 'e': 0.99737531715879113}",20,0,-136.47719057279485,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
16,False,"{'a': 0.79940001549969963, 'e': 0.99700038746250286}",20,0,-50.84536911929067,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
17,False,"{'a': 0.79932001869961433, 'e': 0.99660046745183717}",20,0,-50.50779609640171,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
18,False,"{'a': 0.79923502231201193, 'e': 0.99617555775154409}",25,0,-172.81942717060446,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
19,False,"{'a': 0.79914502636189044, 'e': 0.99572565898635834}",20,0,-62.31120123257287,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
20,False,"{'a': 0.79905003087424742, 'e': 0.99525077178099863}",20,0,-94.57010983859143,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-183.00505081031972,"{0: 9, 1: 0, 2: 7, 3: 2, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,13,-60.59918045598311,"{0: 4, 1: 0, 2: 1, 3: 1, 4: 1}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-62.96070554881682,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-35.313753424642314,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-178.3708287591836,"{0: 12, 1: 3, 2: 6, 3: 2, 4: 2}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-215.8239767386982,"{0: 10, 1: 0, 2: 5, 3: 1, 4: 4}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-208.87341817356588,"{0: 7, 1: 2, 2: 7, 3: 1, 4: 3}",0
8,True,"{'a': 0.0, 'e': 0.0}",20,0,-148.24473542748515,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,-163.7802452638124,"{0: 15, 1: 1, 2: 4, 3: 3, 4: 2}",0
10,True,"{'a': 0.0, 'e': 0.0}",30,0,-156.87617700458605,"{0: 19, 1: 4, 2: 4, 3: 0, 4: 3}",0
11,True,"{'a': 0.0, 'e': 0.0}",20,0,-82.98218432618867,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
12,True,"{'a': 0.0, 'e': 0.0}",25,0,-50.91779971618877,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
13,True,"{'a': 0.0, 'e': 0.0}",35,8,-149.77591268883407,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 2}",1
14,True,"{'a': 0.0, 'e': 0.0}",20,0,-59.33467645276471,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
15,True,"{'a': 0.0, 'e': 0.0}",30,0,-52.385836659826296,"{0: 21, 1: 5, 2: 3, 3: 1, 4: 0}",0
16,True,"{'a': 0.0, 'e': 0.0}",20,6,-30.634280182833038,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
17,True,"{'a': 0.0, 'e': 0.0}",25,0,-135.05453420838938,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
18,True,"{'a': 0.0, 'e': 0.0}",20,0,-124.72662490893833,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
19,True,"{'a': 0.0, 'e': 0.0}",25,2,-146.7884411243095,"{0: 13, 1: 3, 2: 3, 3: 2, 4: 2}",1
20,True,"{'a': 0.0, 'e': 0.0}",30,0,-285.4958679030728,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 6}",0
