trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.80000000000000004, 'e': 1.0}",20,0,-146.9798862383432,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
2,False,"{'a': 0.79999500001250001, 'e': 0.99997500031249742}",20,0,-114.21648985400623,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
3,False,"{'a': 0.79998500006249973, 'e': 0.99992500156247655}",20,0,-166.95546296151286,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 3}",0
4,False,"{'a': 0.7999700001749992, 'e': 0.99985000437490612}",20,0,-104.94886484598865,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
5,False,"{'a': 0.79995000037499775, 'e': 0.99975000937473935}",25,0,-142.99355108688508,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
6,False,"{'a': 0.79992500068749517, 'e': 0.99962501718691388}",30,0,-43.9428481425677,"{0: 24, 1: 3, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.79989500113749079, 'e': 0.99947502843635139}",30,0,-135.48236556694195,"{0: 17, 1: 4, 2: 6, 3: 2, 4: 1}",0
8,False,"{'a': 0.79986000174998351, 'e': 0.99930004374795822}",25,0,-188.0670823617023,"{0: 17, 1: 0, 2: 3, 3: 1, 4: 4}",0
9,False,"{'a': 0.79982000254997287, 'e': 0.99910006374662497}",20,0,-71.56154455911972,"{0: 13, 1: 2, 2: 3, 3: 2, 4: 0}",0
10,False,"{'a': 0.79977500356245779, 'e': 0.99887508905722666}",30,0,-247.26305722251442,"{0: 16, 1: 3, 2: 4, 3: 3, 4: 4}",0
11,False,"{'a': 0.79972500481243691, 'e': 0.9986251203046228}",20,9,-97.01911742403433,"{0: 6, 1: 1, 2: 2, 3: 0, 4: 2}",1
12,False,"{'a': 0.79967000632490914, 'e': 0.9983501581136569}",30,0,-108.28078630751314,"{0: 20, 1: 5, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.79961000812487315, 'e': 0.99805020310915715}",25,0,-44.480060046727914,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
14,False,"{'a': 0.79954501023732738, 'e': 0.99772525591593642}",25,0,-53.8246415204487,"{0: 14, 1: 7, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.79947501268727006, 'e': 0.99737531715879113}",30,0,-150.63274515996395,"{0: 20, 1: 2, 2: 4, 3: 2, 4: 2}",0
16,False,"{'a': 0.79940001549969963, 'e': 0.99700038746250286}",30,0,-139.44469198877357,"{0: 17, 1: 3, 2: 8, 3: 1, 4: 1}",0
17,False,"{'a': 0.79932001869961433, 'e': 0.99660046745183717}",20,0,-77.09862672596111,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
18,False,"{'a': 0.79923502231201193, 'e': 0.99617555775154409}",30,0,-184.03959726648526,"{0: 19, 1: 2, 2: 4, 3: 2, 4: 3}",0
19,False,"{'a': 0.79914502636189044, 'e': 0.99572565898635834}",20,0,-31.96130514061943,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
20,False,"{'a': 0.79905003087424742, 'e': 0.99525077178099863}",30,0,-188.91709973862677,"{0: 19, 1: 0, 2: 7, 3: 1, 4: 3}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-182.30066317005506,"{0: 8, 1: 2, 2: 6, 3: 2, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",25,0,-172.5169206307527,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
3,True,"{'a': 0.0, 'e': 0.0}",20,0,-154.5460499499908,"{0: 9, 1: 1, 2: 6, 3: 3, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,-75.72399054793435,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,-171.67758885578223,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-111.30602636766132,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-40.803005630196616,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,0,-95.4305012957214,"{0: 12, 1: 4, 2: 9, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",35,0,-265.52146157694915,"{0: 16, 1: 7, 2: 6, 3: 3, 4: 3}",0
10,True,"{'a': 0.0, 'e': 0.0}",20,0,-118.05993675140422,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
11,True,"{'a': 0.0, 'e': 0.0}",20,0,-100.01482615178199,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
12,True,"{'a': 0.0, 'e': 0.0}",20,0,-165.52007398308467,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
13,True,"{'a': 0.0, 'e': 0.0}",20,0,-41.808213185560376,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
14,True,"{'a': 0.0, 'e': 0.0}",20,0,-176.83417546228088,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 3}",0
15,True,"{'a': 0.0, 'e': 0.0}",20,0,-55.135109138092595,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
16,True,"{'a': 0.0, 'e': 0.0}",20,0,-105.31366504268263,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
17,True,"{'a': 0.0, 'e': 0.0}",20,0,-194.14553234607925,"{0: 8, 1: 1, 2: 8, 3: 0, 4: 3}",0
18,True,"{'a': 0.0, 'e': 0.0}",25,0,-135.74596596225257,"{0: 17, 1: 0, 2: 5, 3: 1, 4: 2}",0
19,True,"{'a': 0.0, 'e': 0.0}",20,0,-133.2664459735522,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
20,True,"{'a': 0.0, 'e': 0.0}",30,0,-70.96174919584472,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
21,True,"{'a': 0.0, 'e': 0.0}",25,0,-51.634653597842174,"{0: 19, 1: 1, 2: 4, 3: 1, 4: 0}",0
22,True,"{'a': 0.0, 'e': 0.0}",20,0,-119.92762040870929,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
23,True,"{'a': 0.0, 'e': 0.0}",25,0,-101.8924732986894,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
24,True,"{'a': 0.0, 'e': 0.0}",25,0,-148.22438441302194,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
25,True,"{'a': 0.0, 'e': 0.0}",20,0,-189.61692897275236,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 3}",0
26,True,"{'a': 0.0, 'e': 0.0}",20,0,-77.17036526013732,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
27,True,"{'a': 0.0, 'e': 0.0}",25,0,-179.67151690286647,"{0: 14, 1: 2, 2: 5, 3: 1, 4: 3}",0
28,True,"{'a': 0.0, 'e': 0.0}",20,0,-121.1386293892279,"{0: 11, 1: 3, 2: 2, 3: 3, 4: 1}",0
29,True,"{'a': 0.0, 'e': 0.0}",25,0,-130.82411392248082,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
30,True,"{'a': 0.0, 'e': 0.0}",30,0,-128.32810245762806,"{0: 18, 1: 4, 2: 5, 3: 2, 4: 1}",0
31,True,"{'a': 0.0, 'e': 0.0}",20,0,-94.48473300453949,"{0: 14, 1: 1, 2: 2, 3: 2, 4: 1}",0
32,True,"{'a': 0.0, 'e': 0.0}",20,0,-125.82055764683771,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
33,True,"{'a': 0.0, 'e': 0.0}",25,0,-222.41840736959466,"{0: 11, 1: 2, 2: 7, 3: 2, 4: 3}",0
34,True,"{'a': 0.0, 'e': 0.0}",20,0,-107.06921737824808,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
35,True,"{'a': 0.0, 'e': 0.0}",35,16,-87.28447501602298,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 1}",1
36,True,"{'a': 0.0, 'e': 0.0}",25,5,-13.928665563226563,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",1
37,True,"{'a': 0.0, 'e': 0.0}",30,0,-180.5386360620879,"{0: 19, 1: 0, 2: 8, 3: 0, 4: 3}",0
38,True,"{'a': 0.0, 'e': 0.0}",20,0,-79.7475172891957,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
39,True,"{'a': 0.0, 'e': 0.0}",25,0,-155.29293620545764,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
40,True,"{'a': 0.0, 'e': 0.0}",20,15,6.699207235512182,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
